,precision,recall,f1-score,support
No DR,0.6071856287425149,0.5393617021276595,0.5712676056338029,940.0
Mild DR,0.0,0.0,0.0,95.0
Moderate DR,0.3864795918367347,0.45089285714285715,0.41620879120879123,672.0
Severe DR,0.030456852791878174,0.17142857142857143,0.05172413793103448,35.0
Proliferative DR,0.13513513513513514,0.0364963503649635,0.05747126436781609,137.0
accuracy,0.43693453964874934,0.43693453964874934,0.43693453964874934,0.43693453964874934
macro avg,0.23185144170125258,0.23963589621281037,0.21933435982828894,1879.0
weighted avg,0.4523939755686424,0.43693453964874934,0.4397912533443637,1879.0
