,precision,recall,f1-score,support
No DR,0.8180661577608143,0.6840425531914893,0.7450753186558516,940.0
Mild,0.10431654676258993,0.6105263157894737,0.1781874039938556,95.0
Moderate,0.7159533073929961,0.27380952380952384,0.3961248654467169,672.0
Severe,0.2403846153846154,0.7142857142857143,0.3597122302158273,35.0
Proliferative,0.5284090909090909,0.6788321167883211,0.5942492012779552,137.0
accuracy,0.533794571580628,0.533794571580628,0.533794571580628,0.533794571580628
macro avg,0.48142594364202135,0.5922992447729045,0.4546698039180413,1879.0
weighted avg,0.7135808354436998,0.533794571580628,0.5734415013990124,1879.0
