accuracy,loss,val_accuracy,val_loss,learning_rate
0.4740445017814636,1.0790549516677856,0.5271565318107605,1.0153807401657104,9.999999747378752e-06
0.4700513482093811,1.0512219667434692,0.51703941822052,1.0282201766967773,9.999999747378752e-06
0.4790644645690918,1.0290753841400146,0.5298189520835876,1.018328309059143,9.999999747378752e-06
0.5051910877227783,0.9820127487182617,0.5324813723564148,0.9813080430030823,4.999999873689376e-06
0.49606388807296753,0.9710355997085571,0.5159744620323181,0.998984694480896,4.999999873689376e-06
0.5113519430160522,0.938292920589447,0.5436634421348572,0.9842135310173035,4.999999873689376e-06
0.5087279081344604,0.9641717076301575,0.538871169090271,0.977301836013794,2.499999936844688e-06
0.49971476197242737,0.951918363571167,0.5292865037918091,1.0032659769058228,2.499999936844688e-06
0.5128351449966431,0.9248255491256714,0.5473908185958862,0.9775004386901855,2.499999936844688e-06
0.5213919281959534,0.9241119623184204,0.5346112847328186,0.9889914989471436,1.249999968422344e-06
